Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB),S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1132000000,-12.46994442,-3.3261104,-16.619488,-3.3132675,-10.651902,-17.146215,114.22842,-104.7036,-1.0259644,-104.37225,-159.10336,-0.38995785
1133000000,-12.47438734,-3.3115656,-16.621786,-3.2973351,-10.657561,-17.192564,113.91173,-104.83525,-1.1537611,-104.6576,-159.60838,-0.41121709
1134000000,-12.47883375,-3.3134766,-16.557812,-3.3072412,-10.691261,-17.151205,113.88236,-104.91766,-1.3758147,-104.79974,-159.77344,-0.61071634
1135000000,-12.48328363,-3.3261051,-16.604326,-3.3434019,-10.710342,-17.156687,113.82269,-104.72276,-1.3007542,-104.77855,-159.61465,-0.5104748
1136000000,-12.48773701,-3.3474836,-16.637806,-3.3285432,-10.69614,-17.207403,113.93987,-105.08185,-1.550361,-104.87434,-159.8159,-0.85642719
1137000000,-12.49219388,-3.3607228,-16.611334,-3.3209143,-10.706781,-17.179651,113.57342,-105.08183,-1.8052855,-105.0153,-159.81531,-1.0704379
1138000000,-12.49665424,-3.3059881,-16.585649,-3.2958481,-10.707919,-17.141642,113.49619,-105.21326,-1.5491349,-105.049,-159.99721,-0.76951951
1139000000,-12.5011181,-3.3389089,-16.65502,-3.3202217,-10.731966,-17.250338,113.73604,-105.35986,-1.4248052,-105.22948,-160.09691,-0.77389401
1140000000,-12.50558547,-3.3522301,-16.628586,-3.3101108,-10.738436,-17.207508,113.44909,-105.52705,-1.6194237,-105.36961,-160.34682,-0.79127067
1141000000,-12.51005634,-3.3504701,-16.690544,-3.3168252,-10.743497,-17.256216,113.86561,-105.41581,-1.7031668,-105.37417,-160.45541,-1.0114204
1142000000,-12.51453072,-3.3290906,-16.659296,-3.3230083,-10.748964,-17.242136,113.2687,-105.61431,-1.6373982,-105.50118,-160.47791,-0.88278133
1143000000,-12.51900861,-3.3147638,-16.630621,-3.2823567,-10.721813,-17.208094,113.63442,-105.7084,-1.7698874,-105.35095,-160.4575,-1.0742424
1144000000,-12.52349002,-3.3201778,-16.646395,-3.3101554,-10.748817,-17.233351,113.49389,-105.64284,-1.8863337,-105.79849,-160.69496,-1.0850028
1145000000,-12.52797495,-3.3087275,-16.680548,-3.3084638,-10.74229,-17.254557,113.32818,-106.02812,-1.9177802,-105.82693,-160.88982,-1.212927
1146000000,-12.5324634,-3.2941363,-16.670696,-3.304914,-10.738216,-17.245117,113.5737,-105.99572,-1.91576,-105.77106,-160.6777,-0.89776224
1147000000,-12.53695538,-3.3163538,-16.671387,-3.2809541,-10.742579,-17.238831,113.28203,-106.1722,-1.8964908,-105.90549,-161.06796,-1.0720769
1148000000,-12.54145089,-3.3247371,-16.684624,-3.2966917,-10.773067,-17.249329,113.08075,-106.17742,-2.2049892,-105.99597,-161.30267,-1.5643705
1149000000,-12.54594993,-3.3138397,-16.694445,-3.2954259,-10.770821,-17.277639,113.34443,-106.2381,-2.0659657,-106.04414,-161.2072,-1.39817
1150000000,-12.55045251,-3.3215039,-16.688026,-3.3107455,-10.792253,-17.265158,113.02416,-106.40431,-2.2652972,-106.27146,-161.29871,-1.5058714
1151000000,-12.55495863,-3.3276973,-16.706423,-3.3173504,-10.799948,-17.280592,113.31746,-106.33214,-2.1668291,-106.25132,-161.40034,-1.3927373
1152000000,-12.55946829,-3.3099077,-16.699116,-3.2783864,-10.774674,-17.265202,113.33648,-106.51936,-1.9702041,-106.39413,-161.75192,-1.3691696
1153000000,-12.5639815,-3.2970021,-16.704723,-3.2929566,-10.792825,-17.282534,112.99442,-106.54533,-1.9465641,-106.36574,-161.69199,-1.1038721
1154000000,-12.56849826,-3.3204541,-16.723135,-3.3242731,-10.821312,-17.302853,113.05325,-106.67876,-2.1652865,-106.55842,-162.01503,-1.4443754
1155000000,-12.57301858,-3.339401,-16.722269,-3.288136,-10.809521,-17.321865,113.04977,-106.92055,-2.2220881,-106.89366,-162.01791,-1.70476
1156000000,-12.57754245,-3.3079476,-16.700748,-3.2859199,-10.801022,-17.292381,112.94137,-106.95265,-2.0873263,-106.87144,-162.11079,-1.3879503
1157000000,-12.58206988,-3.3388646,-16.772045,-3.2989321,-10.81778,-17.340843,113.19208,-106.92506,-2.3061159,-106.82957,-162.22498,-1.5863787
1158000000,-12.58660088,-3.3269255,-16.726694,-3.3048391,-10.839805,-17.32201,112.90546,-106.96871,-2.3581634,-106.91302,-162.47716,-1.7085452
1159000000,-12.59113544,-3.3292811,-16.765568,-3.3149669,-10.864226,-17.368311,112.95428,-107.38608,-2.3346002,-107.08723,-162.65175,-1.6529272
1160000000,-12.59567358,-3.3049076,-16.734325,-3.2696495,-10.867642,-17.330343,112.88734,-107.36452,-2.5403452,-107.10748,-162.73619,-1.7345753
1161000000,-12.60021529,-3.3085892,-16.766113,-3.3042147,-10.850175,-17.36274,112.98119,-107.32392,-2.5816832,-107.09969,-162.64093,-1.6766425
1162000000,-12.60476057,-3.3057449,-16.759869,-3.3144491,-10.852784,-17.383455,113.08835,-107.49174,-2.839931,-107.35252,-162.91724,-2.1073124
