Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1.211,-4.55500638,-4.5764055,-4.535287245,-4.6446624,-4.541892929,-4.4194484,-4.537511473,-4.6336875
1.212,-4.554492277,-4.5701303,-4.53476861,-4.687336,-4.54138023,-4.4131603,-4.536980556,-4.5970192
1.213,-4.553982673,-4.6099796,-4.534254436,-4.6667418,-4.540872031,-4.4347301,-4.536454159,-4.6029658
1.214,-4.55347758,-4.5919819,-4.533744734,-4.6633639,-4.540368343,-4.4246011,-4.535932294,-4.6377721
1.215,-4.552977007,-4.5712833,-4.533239514,-4.6340175,-4.539869175,-4.4077764,-4.53541497,-4.6294594
1.216,-4.552480966,-4.5500188,-4.532738787,-4.6670489,-4.53937454,-4.3863482,-4.5349022,-4.6023011
1.217,-4.551989467,-4.5710344,-4.532242563,-4.6335187,-4.538884446,-4.4132981,-4.534393992,-4.6513095
1.218,-4.551502521,-4.5714765,-4.531750854,-4.6209598,-4.538398906,-4.4099073,-4.533890358,-4.6367774
1.219,-4.551020139,-4.5327911,-4.531263669,-4.6493959,-4.53791793,-4.3851123,-4.533391309,-4.6392479
1.22,-4.550542331,-4.5827556,-4.53078102,-4.6554804,-4.537441529,-4.4354157,-4.532896855,-4.6060348
1.221,-4.550069108,-4.5865064,-4.530302916,-4.6397619,-4.536969712,-4.4278464,-4.532407007,-4.612637
1.222,-4.549600481,-4.5597248,-4.52982937,-4.6551924,-4.536502492,-4.3882022,-4.531921776,-4.6075048
