Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),,S11 BSF HFSS Mag,S21 BSF HFSS Mag
1368000000,-16.294975,-0.49196738,,-19.99649551,-0.808916296
1369000000,-16.322355,-0.48583308,,-20.02600562,-0.809316818
1370000000,-16.328676,-0.48313171,,-20.0560129,-0.809715384
1371000000,-16.378855,-0.47981316,,-20.08652261,-0.810112039
1372000000,-16.370089,-0.47742626,,-20.11754011,-0.810506828
1373000000,-16.463013,-0.48369989,,-20.14907088,-0.810899795
1374000000,-16.452185,-0.45640439,,-20.18112052,-0.811290986
1375000000,-16.490303,-0.48516965,,-20.21369478,-0.81168045
1376000000,-16.623299,-0.49822506,,-20.2467995,-0.812068232
1377000000,-16.480867,-0.46092728,,-20.28044066,-0.812454383
1378000000,-16.544889,-0.50009316,,-20.3146244,-0.812838951
1379000000,-16.59337,-0.49439821,,-20.34935696,-0.813221986
1380000000,-16.600269,-0.50015378,,-20.38464476,-0.813603539
1381000000,-16.651075,-0.49404553,,-20.42049433,-0.813983663
1382000000,-16.656837,-0.5085535,,-20.45691237,-0.81436241
1383000000,-16.709156,-0.48610973,,-20.49390572,-0.814739832
1384000000,-16.665386,-0.47911614,,-20.5314814,-0.815115985
1385000000,-16.706928,-0.48193985,,-20.56964656,-0.815490923
1386000000,-16.785265,-0.49570096,,-20.60840854,-0.815864702
1387000000,-16.761616,-0.48842514,,-20.64777484,-0.816237379
1388000000,-16.817039,-0.48585588,,-20.68775313,-0.816609011
1389000000,-16.809729,-0.4717997,,-20.72835127,-0.816979656
1390000000,-16.866976,-0.48872253,,-20.7695773,-0.817349374
1391000000,-16.912792,-0.5174157,,-20.81143944,-0.817718226
1392000000,-16.962738,-0.48229107,,-20.85394613,-0.81808627
1393000000,-16.978523,-0.48453599,,-20.897106,-0.81845357
1394000000,-16.931046,-0.48530099,,-20.94092786,-0.818820188
1395000000,-16.973911,-0.48746344,,-20.98542077,-0.819186186
1396000000,-17.078194,-0.48024893,,-21.030594,-0.819551631
1397000000,-17.05023,-0.48348817,,-21.07645703,-0.819916586
1398000000,-17.163172,-0.47327018,,-21.12301957,-0.820281117
1399000000,-17.073021,-0.48047376,,-21.17029159,-0.820645292
1400000000,-17.12887,-0.48384571,,-21.2182833,-0.821009178
1401000000,-17.189312,-0.46953815,,-21.26700515,-0.821372843
1402000000,-17.177719,-0.48244277,,-21.31646785,-0.821736357
1403000000,-17.196829,-0.45053768,,-21.36668239,-0.822099791
1404000000,-17.250664,-0.50149471,,-21.41766003,-0.822463216
1405000000,-17.341122,-0.46200478,,-21.46941232,-0.822826703
1406000000,-17.355181,-0.50117439,,-21.52195109,-0.823190326
1407000000,-17.357225,-0.4711315,,-21.57528849,-0.823554158
1408000000,-17.33956,-0.48633102,,-21.62943696,-0.823918274
1409000000,-17.375425,-0.44877437,,-21.68440929,-0.82428275
1410000000,-17.453886,-0.48765886,,-21.74021856,-0.824647663
