frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
4229798144.0000000000, -98.2011838242, 54.0887452399, 54.0887452399, 54.0887452399, -7.6822640723, 45.1734699192, 54.0887452399, 45.1734699192, -7.6822567868
4230798080.0000000000, -98.3079606268, 54.0179589807, 54.0179589807, 54.0179492667, -7.8395484543, 45.1798666190, 54.0179541237, 45.1798617620, -7.8395442044
4231798016.0000000000, -98.4146888592, 53.9471970066, 53.9471921496, 53.9471921496, -7.9968607641, 45.1861856065, 53.9471970066, 45.1861807495, -7.9968589427
4232797952.0000000000, -98.5214170916, 53.8764398896, 53.8764398896, 53.8764447466, -8.1542987494, 45.1924608807, 53.8764447466, 45.1924608807, -8.1543048207
4233797888.0000000000, -98.6281744662, 53.8056633445, 53.8056633445, 53.8056536304, -8.3119431582, 45.1986924418, 53.8056536304, 45.1986632996, -8.3119182660
4234797824.0000000000, -98.7349124126, 53.7348965134, 53.7348867994, 53.7348965134, -8.4696537440, 45.2048268623, 53.7348965134, 45.2048220053, -8.4696294589
4235797760.0000000000, -98.8416503591, 53.6641345394, 53.6641296823, 53.6641345394, -8.6274638987, 45.2109127127, 53.6641248253, 45.2109224267, -8.6274742199
4236797696.0000000000, -98.9483883055, 53.5933677083, 53.5933677083, 53.5933677083, -8.7854130858, 45.2169791349, 53.5933677083, 45.2169742779, -8.7854136929
4237797632.0000000000, -99.0551165379, 53.5226105912, 53.5226105912, 53.5226105912, -8.9434976623, 45.2229678448, 53.5226057342, 45.2229678448, -8.9434812699
4238797568.0000000000, -99.1618253422, 53.4518631882, 53.4518631882, 53.4518680453, -9.1016241307, 45.2288982704, 53.4518680453, 45.2288982704, -9.1016332376
4239797504.0000000000, -99.2685341465, 53.3811206423, 53.3811254993, 53.3811254993, -9.2598914528, 45.2347898398, 53.3811254993, 45.2347704117, -9.2598793102
4240797440.0000000000, -99.3752526649, 53.3103732393, 53.3103732393, 53.3103732393, -9.4182905216, 45.2406036968, 53.3103683823, 45.2406134108, -9.4183178423
4241797376.0000000000, -99.4820003254, 53.2396064082, 53.2396015512, 53.2396112652, -9.5768395510, 45.2463884117, 53.2396112652, 45.2463786976, -9.5768535150
4242797312.0000000000, -99.5887091297, 53.1688687193, 53.1688687193, 53.1688784333, -9.7354590073, 45.2520954142, 53.1688735763, 45.2520857001, -9.7354632572
4243797248.0000000000, -99.6954276481, 53.0981213163, 53.0981213163, 53.0981213163, -9.8942083889, 45.2577392754, 53.0981213163, 45.2577538464, -9.8942187101
4244797184.0000000000, -99.8021364524, 53.0273739133, 53.0273787703, 53.0273739133, -10.0530961957, 45.2633539944, 53.0273739133, 45.2633442804, -10.0530846603
4245797120.0000000000, -99.9088646848, 52.9566362244, 52.9566313673, 52.9566265103, -10.2120605006, 45.2689055722, 52.9566265103, 45.2689055722, -10.2120580721
4246797056.0000000000, -100.0155832032, 52.8858936784, 52.8858936784, 52.8858888214, -10.3711717305, 45.2743988657, 52.8858888214, 45.2743842946, -10.3711620165
4247796992.0000000000, -100.1222822934, 52.8151511324, 52.8151511324, 52.8151559895, -10.5303667441, 45.2798387319, 52.8151462754, 45.2798241608, -10.5303618870
