"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(1,2)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]"
2.429,94.2482576052346,0.827095277439365,0.827095277615347,76.3193258975194
2.43,93.9232584891474,0.539072697111496,0.539072697288819,76.0576008525189
2.431,93.59816303154,0.250887113153536,0.25088711333222,75.7956844029232
2.432,93.2729711318108,-0.0374616740104961,-0.0374616738305333,75.5335762669854
2.433,92.9476826900114,-0.325973862202839,-0.325973862021601,75.2712761642955
2.434,92.6222976068698,-0.614649647465807,-0.614649647283266,75.0087838158105
2.435,92.2968157838122,-0.903489224036631,-0.903489223852778,74.7460989438833
2.436,91.9712371229872,-1.19249278432202,-1.19249278413693,74.4832212722921
2.437,91.6455615272881,-1.48166051887227,-1.48166051868592,74.2201505262697
2.438,91.3197889003773,-1.7709926163551,-1.77099261616752,73.9568864325339
2.439,90.9939191467084,-2.06048926353107,-2.06048926334229,73.6934287193157
2.44,90.6679521715519,-2.35015064522534,-2.35015064503533,73.4297771163915
2.441,90.3418878810189,-2.6399769443024,-2.63997694411117,73.1659313551124
2.442,90.0157261820848,-2.92996834163982,-2.92996834144744,72.901891168434
2.443,89.6894669826151,-3.22012501610075,-3.22012501590717,72.6376562909483
2.444,89.36311019139,-3.51044714450722,-3.51044714431251,72.3732264589139
2.445,89.036655718129,-3.80093490161396,-3.80093490141811,72.1086014102871
2.446,88.7101034735184,-4.09158846007903,-4.09158845988212,71.8437808847536
2.447,88.3834533692335,-4.3824079904398,-4.38240799024173,71.5787646237586
2.448,88.0567053179685,-4.67339366108154,-4.67339366088238,71.3135523705408
2.449,87.7298592334602,-4.9645456382128,-4.96454563801259,71.0481438701618
2.45,87.4029150305157,-5.25586408583552,-5.25586408563424,70.7825388695398
2.451,87.0758726250382,-5.54734916571815,-5.5473491655158,70.516737117481
2.452,86.7487319340546,-5.83900103736694,-5.83900103716358,70.2507383647121
2.453,86.4214928757426,-6.13081985799746,-6.13081985779306,69.9845423639132
2.454,86.0941553694589,-6.42280578250562,-6.42280578230027,69.7181488697511
2.455,85.7667193357643,-6.71495896344109,-6.71495896323476,69.4515576389102
2.456,85.4391846964555,-7.00727955097513,-7.00727955076784,69.1847684301285
2.457,85.1115513745901,-7.29976769287403,-7.29976769266582,68.917781004229
2.458,84.7838192945166,-7.59242353446912,-7.59242353425996,68.6505951241539
2.459,84.4559883819027,-7.88524721862699,-7.88524721841693,68.3832105549988
2.46,84.1280585637639,-8.17823888572081,-8.17823888550988,68.1156270640457
2.461,83.800029768493,-8.47139867360019,-8.47139867338834,67.8478444207978
2.462,83.4719019258901,-8.76472671756049,-8.76472671734782,67.5798623970141
2.463,83.1436749671898,-9.05822315031523,-9.05822315010174,67.3116807667426
2.464,82.8153488250941,-9.35188810196311,-9.35188810174883,67.0432993063568
2.465,82.4869234338006,-9.64572169995945,-9.64572169974435,66.7747177945894
2.466,82.1583987290331,-9.9397240690854,-9.93972406886954,66.5059360125674
2.467,81.829774648072,-10.2338953314171,-10.2338953312004,66.2369537438478
2.468,81.5010511297859,-10.5282356062948,-10.5282356060775,65.9677707744532
2.469,81.1722281146609,-10.822745010293,-10.822745010075,65.6983868929063
2.47,80.8433055448342,-11.1174236571872,-11.1174236569685,65.4288018902679
2.471,80.5142833641219,-11.4122716579261,-11.4122716577067,65.1590155601696
2.472,80.1851615180548,-11.7072891205965,-11.7072891203764,64.8890276988534
2.473,79.8559399539068,-12.0024761503945,-12.0024761501738,64.6188381052058
2.474,79.526618620729,-12.2978328495926,-12.2978328493713,64.3484465807954
2.475,79.1971974693809,-12.5933593175088,-12.593359317287,64.077852929909
2.476,78.867676452563,-12.8890556504739,-12.8890556502515,63.8070569595884
2.477,78.5380555248498,-13.1849219417998,-13.1849219415768,63.5360584796684
2.478,78.2083346427228,-13.4809582817471,-13.4809582815237,63.2648573028132
2.479,77.8785137646022,-13.7771647574942,-13.7771647572702,62.9934532445533
2.48,77.5485928508823,-14.0735414531021,-14.0735414528777,62.7218461233245
2.481,77.2185718639632,-14.3700884494846,-14.3700884492598,62.4500357605045
2.482,76.888450768285,-14.6668058243742,-14.6668058241489,62.1780219804511
2.483,76.5582295303621,-14.9636936522893,-14.9636936520637,61.9058046105403
2.484,76.2279081188165,-15.260752004502,-15.260752004276,61.6333834812046
2.485,75.8974865044124,-15.5579809490044,-15.557980948778,61.3607584259709
2.486,75.5669646600912,-15.8553805504752,-15.8553805502485,61.0879292815001
2.487,75.2363425610043,-16.1529508702477,-16.1529508700207,60.8148958876243
2.488,74.9056201845497,-16.4506919662752,-16.4506919660479,60.5416580873867
