frequency, S11, S12, S21, S22
1036000000.0000000000, -15.6810537951, -9.1729376997, -9.1729376997, -15.6810545100
1037000000.0000000000, -15.6902536643, -9.1742675598, -9.1742668139, -15.6902550954
1038000000.0000000000, -15.6994333568, -9.1755931208, -9.1755946128, -15.6994304919
1039000000.0000000000, -15.7085641347, -9.1769188574, -9.1769166191, -15.7085648515
1040000000.0000000000, -15.7176551839, -9.1782298459, -9.1782343231, -15.7176559014
1041000000.0000000000, -15.7267078248, -9.1795454840, -9.1795439914, -15.7267049521
1042000000.0000000000, -15.7357197889, -9.1808500992, -9.1808471137, -15.7357169137
1043000000.0000000000, -15.7446909589, -9.1821444339, -9.1821466733, -15.7446909589
1044000000.0000000000, -15.7536140166, -9.1834411758, -9.1834404292, -15.7536161769
1045000000.0000000000, -15.7625054029, -9.1847313657, -9.1847328591, -15.7625039614
1046000000.0000000000, -15.7713520414, -9.1860164946, -9.1860164946, -15.7713498772
1047000000.0000000000, -15.7801530841, -9.1872943200, -9.1872943200, -15.7801523621
1048000000.0000000000, -15.7889199662, -9.1885708146, -9.1885685737, -15.7889185209
1049000000.0000000000, -15.7976345089, -9.1898370133, -9.1898385075, -15.7976337856
1050000000.0000000000, -15.8063095988, -9.1910996366, -9.1911011309, -15.8063132183
1051000000.0000000000, -15.8149473002, -9.1923631665, -9.1923579357, -15.8149516474
1052000000.0000000000, -15.8235417084, -9.1936134039, -9.1936119092, -15.8235446090
1053000000.0000000000, -15.8320883508, -9.1948570705, -9.1948600603, -15.8320883508
1054000000.0000000000, -15.8405943621, -9.1961016394, -9.1961016394, -15.8405950885
1055000000.0000000000, -15.8490559976, -9.1973388869, -9.1973373917, -15.8490552706
1056000000.0000000000, -15.8574658621, -9.1985695581, -9.1985710535, -15.8574644069
1057000000.0000000000, -15.8658449374, -9.1997958938, -9.1997966416, -15.8658420245
1058000000.0000000000, -15.8741741906, -9.2010186404, -9.2010156488, -15.8741727329
1059000000.0000000000, -15.8824505734, -9.2022340567, -9.2022355526, -15.8824534911
1060000000.0000000000, -15.8906856293, -9.2034428879, -9.2034428879, -15.8906848992
1061000000.0000000000, -15.8988821729, -9.2046518652, -9.2046526134, -15.8988821729
1062000000.0000000000, -15.9070232858, -9.2058482682, -9.2058512613, -15.9070218233
1063000000.0000000000, -15.9151249270, -9.2070425694, -9.2070433177, -15.9151234633
1064000000.0000000000, -15.9231818682, -9.2082385100, -9.2082355162, -15.9231796710
1065000000.0000000000, -15.9311888651, -9.2094196231, -9.2094196231, -15.9311917971
1066000000.0000000000, -15.9391457924, -9.2105986298, -9.2105978812, -15.9391487267
1067000000.0000000000, -15.9470650061, -9.2117695397, -9.2117717859, -15.9470650061
1068000000.0000000000, -15.9549273083, -9.2129390892, -9.2129390892, -15.9549302473
1069000000.0000000000, -15.9627472661, -9.2141005378, -9.2140997889, -15.9627421189
1070000000.0000000000, -15.9705144727, -9.2152576275, -9.2152606234, -15.9705181522
1071000000.0000000000, -15.9782457390, -9.2164156001, -9.2164148511, -15.9782450025
1072000000.0000000000, -15.9859196031, -9.2175602223, -9.2175624697, -15.9859173920
1073000000.0000000000, -15.9935418289, -9.2187049755, -9.2187019786, -15.9935447792
1074000000.0000000000, -16.0011204134, -9.2198393695, -9.2198386201, -16.0011211515
1075000064.0000000000, -16.0086478658, -9.2209686463, -9.2209656487, -16.0086486045
1076000000.0000000000, -16.0161329373, -9.2220928043, -9.2220980507, -16.0161336765
1076999936.0000000000, -16.0235585130, -9.2232140904, -9.2232163391, -16.0235577732
1077999872.0000000000, -16.0309429647, -9.2243332534, -9.2243347527, -16.0309392630
1078999808.0000000000, -16.0382691569, -9.2254405458, -9.2254427950, -16.0382691569
1079999744.0000000000, -16.0455480787, -9.2265442119, -9.2265464613, -16.0455480787
1080999680.0000000000, -16.0527818488, -9.2276472498, -9.2276450001, -16.0527796229
1081999616.0000000000, -16.0599614555, -9.2287414097, -9.2287429097, -16.0599621980
1082999552.0000000000, -16.0670845491, -9.2298311890, -9.2298289388, -16.0670875212
1083999488.0000000000, -16.0741643890, -9.2309105850, -9.2309120853, -16.0741621584
1084999424.0000000000, -16.0811859983, -9.2319945989, -9.2319893473, -16.0811867424
1085999360.0000000000, -16.0881619088, -9.2330652248, -9.2330629739, -16.0881619088
1086999296.0000000000, -16.0950875506, -9.2341329639, -9.2341322135, -16.0950875506
1087999232.0000000000, -16.1019598335, -9.2351955637, -9.2351948132, -16.1019583422
1088999168.0000000000, -16.1087659597, -9.2362470183, -9.2362485193, -16.1087667059
1089999104.0000000000, -16.1155334165, -9.2373015859, -9.2373038378, -16.1155408829
1090999040.0000000000, -16.1222464322, -9.2383487578, -9.2383472564, -16.1222449379
1091998976.0000000000, -16.1289026512, -9.2393870300, -9.2393892823, -16.1289011559
1092998912.0000000000, -16.1355116826, -9.2404224065, -9.2404246591, -16.1355139270
1093998848.0000000000, -16.1420644464, -9.2414571394, -9.2414533847, -16.1420636978
1094998784.0000000000, -16.1485563346, -9.2424792122, -9.2424784611, -16.1485563346
1095998720.0000000000, -16.1550022174, -9.2435021405, -9.2434983850, -16.1550007182
1096998656.0000000000, -16.1613840015, -9.2445093990, -9.2445116525, -16.1613840015
