"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
3.982,-6.1607094103107,-3.74118882035139,-2.58890326898237,-3.73152787465965
3.983,-6.1823301813999,-3.73699730440261,-2.58213717087358,-3.73585365480476
3.984,-6.20408799298341,-3.73281063360408,-2.57537920863778,-3.74018269689242
3.985,-6.22598400064304,-3.7286288044423,-2.56862953271579,-3.74451499803319
3.986,-6.24801937218832,-3.72445181341527,-2.56188829474681,-3.74885055531203
3.987,-6.27019528781481,-3.72027965703267,-2.55515564757409,-3.75318936578815
3.988,-6.2925129402652,-3.71611233181587,-2.54843174525067,-3.75753142649465
3.989,-6.31497353499254,-3.71194983429817,-2.54171674304501,-3.76187673443832
3.99,-6.33757829032614,-3.70779216102486,-2.53501079744668,-3.76622528659933
3.991,-6.36032843764005,-3.70363930855336,-2.52831406617188,-3.77057707993086
3.992,-6.38322522152406,-3.69949127345335,-2.52162670816906,-3.774932111359
3.993,-6.40626989995739,-3.69534805230689,-2.51494888362441,-3.77929037778234
3.994,-6.42946374448502,-3.69120964170857,-2.50828075396736,-3.78365187607163
3.995,-6.45280804039681,-3.68707603826563,-2.50162248187597,-3.78801660306964
3.996,-6.47630408690932,-3.68294723859807,-2.49497423128238,-3.79238455559072
3.997,-6.49995319735052,-3.67882323933882,-2.48833616737813,-3.79675573042056
3.998,-6.52375669934731,-3.67470403713385,-2.48170845661942,-3.80113012431588
3.999,-6.54771593501602,-3.67058962864229,-2.47509126673244,-3.80550773400416
4,-6.57183226115576,-3.66648001053662,-2.46848476671849,-3.8098885561832
4.001,-6.59610704944485,-3.66237517950275,-2.46188912685919,-3.81427258752094
4.002,-6.62054168664043,-3.65827513224017,-2.4553045187215,-3.81865982465509
4.003,-6.6451375747808,-3.6541798654621,-2.44873111516285,-3.82305026419276
4.004,-6.66989613139138,-3.65008937589566,-2.44216909033602,-3.82744390271025
4.005,-6.69481878969363,-3.64600366028191,-2.43561861969412,-3.83184073675255
4.006,-6.7199069988171,-3.64192271537613,-2.42907987999544,-3.83624076283318
4.007,-6.74516222401508,-3.63784653794784,-2.4225530493082,-3.84064397743372
4.008,-6.77058594688347,-3.63377512478103,-2.41603830701533,-3.84505037700351
4.009,-6.79617966558298,-3.62970847267424,-2.40953583381912,-3.84945995795936
4.01,-6.82194489506488,-3.62564657844076,-2.40304581174578,-3.85387271668506
4.011,-6.8478831673004,-3.62158943890875,-2.39656842414997,-3.8582886495312
4.012,-6.87399603151337,-3.61753705092137,-2.39010385571928,-3.86270775281467
4.013,-6.90028505441677,-3.613489411337,-2.38365229247856,-3.86713002281836
4.014,-6.92675182045291,-3.6094465170293,-2.3772139217942,-3.87155545579076
4.015,-6.95339793203712,-3.60540836488744,-2.37078893237842,-3.87598404794565
4.016,-6.98022500980554,-3.60137495181619,-2.36437751429332,-3.88041579546163
4.017,-7.00723469286657,-3.59734627473612,-2.35797985895495,-3.88485069448183
4.018,-7.03442863905631,-3.59332233058373,-2.35159615913728,-3.88928874111346
4.019,-7.0618085251976,-3.58930311631165,-2.3452266089761,-3.89372993142743
4.02,-7.08937604736375,-3.58528862888872,-2.33887140397273,-3.89817426145803
4.021,-7.1171329211456,-3.58127886530023,-2.33253074099777,-3.90262172720242
4.022,-7.14508088192314,-3.57727382254806,-2.32620481829469,-3.90707232462028
4.023,-7.17322168514106,-3.57327349765078,-2.31989383548328,-3.91152604963342
4.024,-7.20155710658883,-3.56927788764392,-2.31359799356309,-3.91598289812535
4.025,-7.23008894268454,-3.56528698958004,-2.30731749491671,-3.92044286594085
4.026,-7.25881901076346,-3.56130080052897,-2.30105254331296,-3.92490594888555
4.027,-7.2877491493709,-3.55731931757791,-2.29480334390996,-3.92937214272553
4.028,-7.31688121855943,-3.55334253783168,-2.28857010325813,-3.93384144318686
4.029,-7.3462171001904,-3.54937045841281,-2.28235302930302,-3.93831384595517
4.03,-7.37575869824049,-3.54540307646178,-2.27615233138807,-3.94278934667526
4.031,-7.40550793911204,-3.54144038913712,-2.26996822025724,-3.9472679409505
4.032,-7.4354667719488,-3.53748239361568,-2.26380090805751,-3.9517496243426
4.033,-7.46563716895573,-3.53352908709272,-2.25765060834127,-3.95623439237096
4.034,-7.49602112572385,-3.52958046678215,-2.25151753606857,-3.96072224051232
4.035,-7.52662066155942,-3.52563652991668,-2.24540190760931,-3.96521316420024
4.036,-7.55743781981848,-3.521697273748,-2.23930394074515,-3.96970715882464
4.037,-7.58847466824556,-3.51776269554698,-2.23322385467143,-3.97420421973135
4.038,-7.61973329931768,-3.51383279260384,-2.22716186999893,-3.97870434222158
4.039,-7.65121583059279,-3.50990756222837,-2.22111820875543,-3.98320752155147
4.04,-7.68292440506366,-3.50598700175007,-2.21509309438716,-3.98771375293158
4.041,-7.714861191516,-3.50207110851835,-2.20908675176012,-3.99222303152637
4.042,-7.74702838489189,-3.49815987990278,-2.20309940716128,-3.99673535245371
4.043,-7.77942820665827,-3.49425331329321,-2.19713128829952,-4.00125071078442
4.044,-7.81206290517989,-3.49035140609999,-2.19118262430655,-4.00576910154164
4.045,-7.84493475609751,-3.48645415575421,-2.1852536457376,-4.01029051970042
4.046,-7.87804606271111,-3.48256155970782,-2.17934458457196,-4.01481496018713
4.047,-7.9113991563676,-3.47867361543392,-2.17345567421338,-4.0193424178789
4.048,-7.94499639685394,-3.47479032042687,-2.16758714949027,-4.02387288760319
4.049,-7.97884017279477,-3.47091167220258,-2.16173924665576,-4.0284063641371
4.05,-8.01293290205495,-3.46703766829867,-2.15591220338762,-4.03294284220691
4.051,-8.04727703214686,-3.46316830627467,-2.15010625878791,-4.03748231648751
4.052,-8.0818750406426,-3.45930358371228,-2.14432165338259,-4.0420247816018
4.053,-8.11672943559077,-3.45544349821555,-2.13855862912077,-4.04657023212016
4.054,-8.15184275593764,-3.45158804741107,-2.13281742937398,-4.05111866255981
4.055,-8.18721757195308,-3.44773722894825,-2.12709829893515,-4.05567006738431
4.056,-8.22285648566097,-3.44389104049949,-2.12140148401732,-4.0602244410029
4.057,-8.25876213127352,-3.44004947976042,-2.11572723225235,-4.0647817777699
4.058,-8.29493717563013,-3.4362125444501,-2.11007579268927,-4.06934207198416
4.059,-8.33138431864014,-3.43238023231132,-2.10444741579252,-4.07390531788842
4.06,-8.36810629372936,-3.42855254111072,-2.09884235343994,-4.07847150966868
4.061,-8.40510586829028,-3.4247294686391,-2.09326085892062,-4.08304064145354
