Freq(Hz),S11 ON,,S11 OFF,,S21 ON,,S21 OFF,,S11 Sim,S21 Sim
1232000000,-8.0897713,,-1.3021808,,-1.2779034,,-13.941223,,-0.992380196,-13.1121232
1233000000,-8.1150808,,-1.3049189,,-1.2810853,,-13.931001,,-0.994483943,-13.08963986
1234000000,-8.1031237,,-1.2861327,,-1.3034054,,-13.944972,,-0.996590293,-13.06720967
1235000000,-8.125042,,-1.3073511,,-1.2822988,,-13.926539,,-0.998699196,-13.04483277
1236000000,-8.1608601,,-1.2956632,,-1.268227,,-13.893615,,-1.0008106,-13.02250927
1237000000,-8.1272249,,-1.2850507,,-1.2724597,,-13.895207,,-1.002924453,-13.00023931
1238000000,-8.1542892,,-1.2745665,,-1.2206985,,-13.86509,,-1.005040705,-12.978023
1239000000,-8.2045908,,-1.3112514,,-1.2895396,,-13.900079,,-1.007159304,-12.95586046
1240000000,-8.1789198,,-1.2931608,,-1.2690632,,-13.894905,,-1.009280199,-12.93375182
1241000000,-8.2409134,,-1.3097191,,-1.2724508,,-13.881976,,-1.011403337,-12.9116972
1242000000,-8.2133665,,-1.2707603,,-1.2603499,,-13.841341,,-1.013528667,-12.88969672
1243000000,-8.2622118,,-1.3200195,,-1.2668869,,-13.846395,,-1.015656136,-12.8677505
1244000000,-8.2683716,,-1.3093096,,-1.2392399,,-13.835085,,-1.017785693,-12.84585866
1245000000,-8.261034,,-1.3053377,,-1.2216741,,-13.809286,,-1.019917286,-12.8240213
1246000000,-8.2766409,,-1.2753687,,-1.2442192,,-13.795586,,-1.022050861,-12.80223857
1247000000,-8.2981539,,-1.3224862,,-1.2762315,,-13.844082,,-1.024186368,-12.78051056
1248000000,-8.3268452,,-1.3017379,,-1.2352847,,-13.794802,,-1.026323752,-12.7588374
1249000000,-8.3183632,,-1.2912812,,-1.2244856,,-13.780765,,-1.028462962,-12.73721919
1250000000,-8.3623505,,-1.3042316,,-1.2124927,,-13.799931,,-1.030603944,-12.71565606
1251000000,-8.3398724,,-1.2939482,,-1.2235079,,-13.788203,,-1.032746646,-12.69414812
1252000000,-8.3624496,,-1.316956,,-1.2023729,,-13.754176,,-1.034891016,-12.67269548
1253000000,-8.392643,,-1.279169,,-1.2017975,,-13.753221,,-1.037036999,-12.65129825
1254000000,-8.426137,,-1.3273528,,-1.2184842,,-13.74446,,-1.039184543,-12.62995655
1255000000,-8.418479,,-1.2993442,,-1.2253473,,-13.777308,,-1.041333595,-12.60867048
1256000000,-8.417284,,-1.2990547,,-1.1935357,,-13.733826,,-1.043484101,-12.58744015
1257000000,-8.456111,,-1.297158,,-1.1960607,,-13.742624,,-1.045636008,-12.56626567
1258000000,-8.4425201,,-1.292183,,-1.2083063,,-13.75244,,-1.047789262,-12.54514715
1259000000,-8.4741201,,-1.3060735,,-1.1866714,,-13.686241,,-1.049943811,-12.5240847
1260000000,-8.4781818,,-1.3017615,,-1.1992877,,-13.704492,,-1.052099601,-12.50307842
1261000000,-8.5110188,,-1.3147354,,-1.221433,,-13.71525,,-1.054256577,-12.48212842
1262000000,-8.543602,,-1.3070691,,-1.2112247,,-13.666855,,-1.056414686,-12.4612348
1263000000,-8.5092487,,-1.2812095,,-1.1970071,,-13.682076,,-1.058573875,-12.44039766
1264000000,-8.579915,,-1.3107785,,-1.1784773,,-13.692727,,-1.06073409,-12.41961711
1265000000,-8.5347242,,-1.2755944,,-1.1894011,,-13.642929,,-1.062895276,-12.39889324
1266000000,-8.5934896,,-1.2759556,,-1.1625339,,-13.658851,,-1.06505738,-12.37822617
1267000000,-8.5992661,,-1.3126726,,-1.2041761,,-13.673338,,-1.067220349,-12.35761598
1268000000,-8.5844231,,-1.2974036,,-1.182557,,-13.656242,,-1.069384127,-12.33706277
1269000000,-8.6229668,,-1.283039,,-1.1753021,,-13.629751,,-1.071548661,-12.31656665
1270000000,-8.6088209,,-1.2888858,,-1.1759104,,-13.61038,,-1.073713896,-12.29612771
1271000000,-8.6403408,,-1.2957342,,-1.1864595,,-13.602821,,-1.07587978,-12.27574604
1272000000,-8.6466446,,-1.2934068,,-1.171769,,-13.649929,,-1.078046257,-12.25542175
1273000000,-8.6693621,,-1.3109043,,-1.1644424,,-13.614182,,-1.080213273,-12.23515491
