Freq,Simulated,Measured
1.675,-1.350729261,-1.197145
1.676,-1.350805457,-1.1830211
1.677,-1.350880206,-1.1696182
1.678,-1.350953514,-1.1635541
1.679,-1.351025385,-1.1711402
1.68,-1.351095826,-1.202154
1.681,-1.351164841,-1.1891009
1.682,-1.351232434,-1.2027601
1.683,-1.351298612,-1.1913934
1.684,-1.351363379,-1.207688
1.685,-1.35142674,-1.1951046
1.686,-1.3514887,-1.2174993
1.687,-1.351549265,-1.1884818
1.688,-1.351608439,-1.211157
1.689,-1.351666227,-1.2005019
1.69,-1.351722635,-1.2005166
1.691,-1.351777668,-1.2251068
1.692,-1.35183133,-1.1961628
1.693,-1.351883627,-1.1915479
1.694,-1.351934563,-1.197597
1.695,-1.351984145,-1.1771432
1.696,-1.352032376,-1.1802609
1.697,-1.352079263,-1.1873595
1.698,-1.352124809,-1.2083097
1.699,-1.352169021,-1.2095364
1.7,-1.352211903,-1.171042
1.701,-1.352253461,-1.1792655
1.702,-1.352293698,-1.1703546
1.703,-1.352332622,-1.1557581
1.704,-1.352370236,-1.1643945
1.705,-1.352406546,-1.1652395
1.706,-1.352441556,-1.1865711
1.707,-1.352475272,-1.2041459
1.708,-1.3525077,-1.1840696
1.709,-1.352538843,-1.2009039
1.71,-1.352568708,-1.1980174
1.711,-1.352597298,-1.1641768
1.712,-1.352624621,-1.2066691
1.713,-1.352650679,-1.1601801
1.714,-1.352675479,-1.1969831
1.715,-1.352699026,-1.2072309
1.716,-1.352721324,-1.1879816
1.717,-1.352742379,-1.1671102
1.718,-1.352762196,-1.2089154
1.719,-1.352780781,-1.2122386
1.72,-1.352798137,-1.1935272
1.721,-1.35281427,-1.1874789
1.722,-1.352829185,-1.2005014
1.723,-1.352842888,-1.1896143
1.724,-1.352855384,-1.203145
1.725,-1.352866676,-1.2142866
1.726,-1.352876772,-1.1882689
1.727,-1.352885675,-1.1902148
1.728,-1.352893391,-1.2011594
1.729,-1.352899925,-1.2196661
1.73,-1.352905281,-1.2162757
1.731,-1.352909466,-1.1836652
1.732,-1.352912484,-1.1848795
1.733,-1.35291434,-1.1808532
1.734,-1.35291504,-1.2059276
1.735,-1.352914587,-1.2084113
1.736,-1.352912989,-1.1950998
1.737,-1.352910248,-1.1754318
1.738,-1.352906372,-1.1877491
1.739,-1.352901364,-1.1746222
1.74,-1.35289523,-1.1594597
1.741,-1.352887974,-1.1877584
1.742,-1.352879603,-1.1841462
1.743,-1.352870121,-1.1722356
1.744,-1.352859532,-1.1861145
1.745,-1.352847843,-1.1808693
1.746,-1.352835058,-1.1914142
1.747,-1.352821182,-1.1878871
1.748,-1.35280622,-1.1665844
1.749,-1.352790178,-1.1922482
1.75,-1.35277306,-1.1538842
1.751,-1.352754872,-1.1953188
1.752,-1.352735618,-1.1622131
1.753,-1.352715304,-1.2033904
1.754,-1.352693934,-1.2112997
1.755,-1.352671514,-1.2046398
1.756,-1.352648049,-1.165253
1.757,-1.352623544,-1.2180626
1.758,-1.352598003,-1.203992
1.759,-1.352571432,-1.180518
1.76,-1.352543836,-1.2036848
1.761,-1.35251522,-1.1832365
1.762,-1.352485589,-1.2137406
1.763,-1.352454948,-1.1908476
1.764,-1.352423302,-1.2084268
